year,state,demVotes,gopVotes,otherVotes,totalVotes,demShareTotal,gopShareTotal,demShareTwoParty,gopShareTwoParty,differenceTotal,differenceTwoParty
1984,FL,1448816,2730350,885,4180051,0.3466024696827862,0.653185810412361,0.34667586786454524,0.6533241321354548,-0.058860736397680524,-0.06157045390579946
1988,FL,1656701,2618885,26727,4302313,0.3850721693191546,0.6087155908926198,0.38747928354148414,0.6125207164585159,-0.07142442830828799,-0.07350528199839451
1992,FL,2071698,2173310,1068384,5313392,0.3899012156452978,0.4090249693604387,0.48803158910419014,0.5119684108958098,-0.03987313952064997,-0.0467683039460694
1996,FL,2546870,2244536,511748,5303154,0.4802557119781926,0.42324548749668595,0.5315496119510641,0.46845038804893596,-0.011517163866432367,-0.015814013936027882
2000,FL,2912253,2912790,138067,5963110,0.48837821204036147,0.4884682657204043,0.49995390591966443,0.5000460940803355,0.005433435888250848,-0.002706917773803663
2004,FL,3583544,3964522,61744,7609810,0.4709111002771423,0.5209751623233695,0.47476320424331214,0.5252367957566879,-0.011543753422649572,-0.012845052244072563
2008,FL,4282074,4045624,63046,8390744,0.5103330527066491,0.4821531916597622,0.514196600308993,0.48580339969100705,-0.018497064749580905,-0.022691836790490028
2012,FL,4237756,4163447,72976,8474179,0.5000786506869869,0.49130977761975525,0.5044225213936623,0.49557747860633766,-0.010217628784043309,-0.015160530845629183
2016,FL,4504975,4617886,297178,9420039,0.4782331580580505,0.49021941416590736,0.4938116452722452,0.5061883547277548,-0.0031980669294185415,-0.017320729293670345
2020,FL,5297045,5668731,101680,11067456,0.47861450725442234,0.5121981962250404,0.48305245337858443,0.5169475466214156,-0.03457047736238272,-0.03965476384095906
1976,GA,979409,483743,0,1463152,0.6693829485931742,0.3306170514068258,0.6693829485931742,0.3306170514068258,0.16907453455528776,0.1588787959319985
1980,GA,890955,654168,51682,1596805,0.5579610534786652,0.409673065903476,0.5766239969245167,0.4233760030754833,0.14776175038496064,0.1296464956942906
1984,GA,706628,1068722,753,1776103,0.3978530524412154,0.6017229856601785,0.398021798518602,0.601978201481398,-0.007610153639251327,-0.010224523251742723
1988,GA,714792,1081331,13549,1809672,0.394984284444916,0.5975287234371753,0.3979638365523965,0.6020361634476036,-0.06151231318252659,-0.06302072898748218
1992,GA,1008966,995252,316915,2321133,0.4346868533599755,0.4287785318635339,0.5034212845109663,0.49657871548903365,0.004912498194027726,-0.031378608539293196
1996,GA,1053849,1080843,164207,2298899,0.4584146584952188,0.4701568011469838,0.4936773080144583,0.5063226919855417,-0.033358217349406194,-0.05368631787263367
2000,GA,1116230,1419720,47258,2583208,0.4321099965624139,0.5495956965137921,0.4401624637709734,0.5598375362290265,-0.05083477958969673,-0.062498359922494695
2004,GA,1366149,1914254,21472,3301875,0.41374946053378764,0.5797475676698846,0.4164576730359044,0.5835423269640956,-0.06870539316600421,-0.07115058345148029
2008,GA,1844123,2048759,31604,3924486,0.46990179096065066,0.5220451799292952,0.47371664489188214,0.5262833551081179,-0.05892832649557933,-0.06317179220760083
2012,GA,1773827,2078688,45324,3897839,0.45507959666882086,0.5332924217752452,0.46043350901943275,0.5395664909805672,-0.055216682802209316,-0.05914954321985871
2016,GA,1877963,2089104,147665,4114732,0.4563998335736082,0.50771326054771,0.47338827400696787,0.5266117259930322,-0.02503139141386085,-0.03774410055894767
2020,GA,2473707,2461779,62238,4997724,0.49496670884586663,0.4925800224262084,0.5012083916355957,0.4987916083644042,-0.01821827577093843,-0.021498825583947778
1976,HI,147375,140003,3923,291301,0.5059199934088795,0.48061283689379714,0.5128263123829938,0.4871736876170062,0.005611579370993103,0.002322159721818151
1980,HI,135879,130112,37296,303287,0.4480211812573569,0.42900618885741887,0.510840592350869,0.48915940764913096,0.037821878163652345,0.06386309112064287
1984,HI,147154,185050,3642,335846,0.43815915627996166,0.5509965877217534,0.442962757823506,0.557037242176494,0.03269595019949495,0.034716436053161326
1988,HI,192364,158625,3472,354461,0.5426944007944456,0.44751044543687457,0.5480627598015892,0.45193724019841075,0.08619780316700304,0.0870781942617106
1992,HI,179310,136822,56710,372842,0.48092757790163126,0.3669704593366627,0.567199777308213,0.432800222691787,0.05115322273568351,0.03239988425795348
1996,HI,205012,113943,41165,360120,0.5692880151060757,0.3164028657114295,0.6427615180824882,0.3572384819175119,0.07751513926145076,0.09539789219539618
2000,HI,205286,137845,24820,367951,0.5579166791230354,0.3746286869719066,0.5982729628042934,0.40172703719570657,0.07497190297092482,0.09561213911082533
2004,HI,231708,194191,3114,429013,0.5400955215809311,0.45264595711551864,0.5440444800293027,0.4559555199706973,0.05764066788113925,0.05643622354191802
2008,HI,325871,120566,9627,456064,0.7145291011787819,0.2643620193657031,0.7299372587845542,0.2700627412154459,0.1856989837225519,0.1930488216850712
2012,HI,306658,121015,9486,437159,0.7014793244563191,0.2768214768539593,0.7170384850107442,0.2829615149892558,0.19118304498528893,0.19745543277145272
2016,HI,266891,128847,41926,437664,0.6098079805512905,0.29439707172625573,0.6744133745053545,0.32558662549464545,0.12837675556382144,0.163280999939439
2020,HI,366130,196864,11475,574469,0.6373363923901899,0.3426886394217965,0.6503266464651488,0.3496733535348512,0.12415140777338485,0.12761942924560532
1976,IA,619931,632864,26508,1279303,0.48458496540694423,0.49469437654722925,0.4948383414684765,0.5051616585315235,-0.01572344863094216,-0.015665811192699164
1980,IA,508672,676026,132963,1317661,0.3860416298273987,0.5130500181761469,0.42936849728791643,0.5706315027120836,-0.024157673266305857,-0.017609003942309687
1984,IA,605620,703088,11097,1319805,0.4588708180375131,0.5327211216808544,0.4627617466997986,0.5372382533002015,0.05340761195704641,0.05451542492945388
1988,IA,670557,545355,9702,1225614,0.5471192398259158,0.4449647278833303,0.5514848114008251,0.44851518859917494,0.09062264219847321,0.0905002458609464
1992,IA,586353,504891,263363,1354607,0.43285838623305506,0.37272138708865377,0.5373252911356213,0.4626747088643786,0.003084031067107307,0.0025253980853617852
1996,IA,620258,492644,121173,1234075,0.5026096469015254,0.3992010210076373,0.5573338892373273,0.4426661107626727,0.010836771056900452,0.00997026335023532
2000,IA,638517,634373,80132,1353022,0.4719191557860848,0.4688563822317745,0.5016277918751817,0.4983722081248183,-0.011025620366025835,-0.0010330318182864007
2004,IA,741898,751957,13053,1506908,0.4923313168421695,0.4990065750530225,0.49663320737287087,0.5033667926271291,0.009876463142377667,0.00902495088548616
2008,IA,828940,682379,25804,1537123,0.5392802007386527,0.4439325935530208,0.5484877778946735,0.45151222210532654,0.010450083282422695,0.011599340795190538
2012,IA,822544,730617,29019,1582180,0.5198801653414908,0.46177868510536096,0.5295935192810017,0.4704064807189982,0.009583885870460662,0.01001046704171027
2016,IA,653669,800983,110928,1565580,0.41752513445496237,0.5116206134467737,0.4493645215487965,0.5506354784512034,-0.06390609053250668,-0.06176785301711901
2020,IA,759061,897672,34138,1690871,0.44891715571442176,0.5308932496920227,0.4581673691536295,0.5418326308463706,-0.0642678289023833,-0.06453984806591401
1976,ID,126549,204151,10232,340932,0.37118545633733413,0.5988026937923104,0.38267009374055033,0.6173299062594496,-0.12912295770055227,-0.12783405892062533
1980,ID,110192,290699,36540,437431,0.25190715792890767,0.6645596676961624,0.2748677321266878,0.7251322678733122,-0.1582921451647969,-0.1721097691035383
1984,ID,108510,297523,5111,411144,0.2639221294728854,0.723646702858366,0.2672442880258501,0.7327557119741499,-0.1415410766075813,-0.1410020337444946
1988,ID,147272,253881,7815,408968,0.36010641419377554,0.6207845112576045,0.3671217714936695,0.6328782285063305,-0.09639018343366706,-0.09386279404620917
1992,ID,137013,202645,142456,482114,0.2841921205358069,0.4203258980241188,0.40338516978843425,0.5966148302115658,-0.14558223463014086,-0.1314147232618253
1996,ID,165443,256595,69673,491711,0.3364638985094903,0.521841081448249,0.3920097242428407,0.6079902757571594,-0.15530897733513466,-0.15535390164425128
2000,ID,138637,336937,26041,501615,0.27638128843834414,0.6717043948047806,0.29151509544255994,0.7084849045574401,-0.20656348771376648,-0.21114572825090816
2004,ID,181098,409235,8043,598376,0.3026491704212736,0.6839094482399026,0.306772618166357,0.6932273818336431,-0.17980568327851826,-0.18083563832102773
2008,ID,236440,403012,15670,655122,0.3609098763283785,0.6151709147303861,0.3697541019497945,0.6302458980502055,-0.16792024112785148,-0.16713433514968845
2012,ID,212787,420911,18576,652274,0.3262233355920978,0.6452978349589283,0.3357861315642467,0.6642138684357534,-0.18407294387893236,-0.18379692067504477
2016,ID,189765,409055,91435,690255,0.27492013820979205,0.5926143236919689,0.31689823319194416,0.6831017668080558,-0.206511086777677,-0.19423414137397138
2020,ID,287021,554118,26966,868105,0.33062935935169135,0.6383075780003571,0.3412289764236351,0.6587710235763649,-0.1825556252651137,-0.1814782407959084
1976,IL,2271295,2364269,85718,4721282,0.48107590268914247,0.5007684353529401,0.4899716625636061,0.510028337436394,-0.01923251134874393,-0.020532490097569578
1980,IL,1981413,2358049,410259,4749721,0.41716408184817594,0.49646052894475273,0.45660337617889035,0.5433966238211096,0.006964778754471379,0.009625874948664237
1984,IL,2086499,2707103,25486,4819088,0.43296553206747834,0.5617459154097206,0.4352674669277925,0.5647325330722075,0.027502325987011633,0.0270211451574478
1988,IL,2215940,2310939,32241,4559120,0.4860455526505115,0.5068826878871361,0.4895072300364114,0.5104927699635886,0.029548955023068924,0.028522664496532735
1992,IL,2453350,1734096,862711,5050157,0.48579677819917283,0.3433746713220995,0.585882182122468,0.41411781787753205,0.05602242303322508,0.051082289072208464
1996,IL,2341744,1587021,382626,4311391,0.5431527783028726,0.3680995298269166,0.5960509218545778,0.4039490781454223,0.051379902458247584,0.04868729596748578
2000,IL,2589026,2019421,133661,4742108,0.545965212095549,0.42584879973210227,0.5618001031583959,0.4381998968416041,0.06302043594343842,0.05913927946492781
2004,IL,2891550,2345946,36826,5274322,0.5482316020902781,0.4447862682634849,0.5520863404955345,0.4479136595044655,0.06577674839048625,0.0644780840081498
2008,IL,3419348,2031179,71844,5522371,0.6191811452001323,0.36780922542147204,0.6273426404455936,0.3726573595544064,0.09035102774390236,0.09045420334611065
2012,IL,3019512,2135216,87286,5242014,0.5760213536247709,0.407327412708169,0.585775233921169,0.4142247660788309,0.06572507415374074,0.06619218168187757
2016,IL,3090729,2146015,299680,5536424,0.558253666987933,0.3876175307382527,0.5902005139071148,0.4097994860928852,0.07682244200046395,0.07906813934119927
2020,IL,3471680,2446733,120059,6038472,0.5749269020374691,0.4051907502427767,0.5865896820651076,0.41341031793489236,0.06174191742066404,0.06388246484556415
1976,IN,1014714,1183958,21690,2220362,0.45700385792947273,0.5332274647107094,0.46151222192305175,0.5384877780769483,-0.04330455610841366,-0.04899193073812391
1980,IN,844197,1255656,142180,2242033,0.3765319243739945,0.5600524167128673,0.4020267132985023,0.5979732867014976,-0.03366737871971004,-0.0449507879317238
1984,IN,841481,1377230,14358,2233069,0.3768271378985602,0.6167431458678617,0.37926570878316285,0.6207342912168372,-0.028636068181906504,-0.028980612987181853
1988,IN,860643,1297763,10215,2168621,0.39686187674102574,0.5984277566250626,0.3987400887506799,0.6012599112493201,-0.05963472088641686,-0.062244476789198755
